Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
333,Umut Bozok\Umut-Bozok,tr TUR,FW,Nîmes,fr Ligue 1,21,1996,25,14,1235,13.7,2,3,2,0,1,1,0,0.15,0.22,0.36,0.15,0.36,3.5,2.8,2.1,4.9,0.26,0.16,0.41,0.2,0.36
334,Filip Bradarić\Filip-Bradaric,hr CRO,MF,Cagliari,it Serie A,26,1992,27,17,1494,16.6,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,0.4,0.4,0.8,1.2,0.02,0.05,0.07,0.02,0.07
335,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,eng Premier League,26,1992,16,6,720,8,0,1,0,0,0,3,1,0,0.12,0.12,0,0.12,0.7,0.7,1.4,2.1,0.08,0.18,0.26,0.08,0.26
336,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Leganés,es La Liga,27,1991,19,16,1402,15.6,4,5,4,0,0,5,0,0.26,0.32,0.58,0.26,0.58,3.6,3.6,1.9,5.5,0.23,0.12,0.35,0.23,0.35
337,Julian Brandt\Julian-Brandt,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,33,30,2666,29.6,7,11,7,0,0,0,0,0.24,0.37,0.61,0.24,0.61,7.8,7.8,9.1,16.9,0.26,0.31,0.57,0.26,0.57
338,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Alavés,es La Liga,26,1992,24,17,1580,17.6,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,0.5,0.5,0.4,0.9,0.03,0.02,0.05,0.03,0.05
339,Pedro Brazão\Pedro-Brazao,pt POR,FWDF,Nice,fr Ligue 1,15,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0.12
340,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,1995,13,12,1128,12.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,de Bundesliga,20,1998,25,15,1415,15.7,3,3,3,0,0,2,0,0.19,0.19,0.38,0.19,0.38,2.2,2.2,1.6,3.8,0.14,0.1,0.24,0.14,0.24
342,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,21,1997,5,2,183,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03
343,Joshua Brenet\Joshua-Brenet,nl NED,DFMF,Hoffenheim,de Bundesliga,24,1994,14,10,906,10.1,2,1,2,0,0,0,0,0.2,0.1,0.3,0.2,0.3,1.7,1.7,1.5,3.2,0.17,0.15,0.32,0.17,0.32
344,Rajko Brežančić\Rajko-Brezancic,rs SRB,DF,Huesca,es La Liga,28,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,23,1994,33,33,2924,32.5,2,2,2,0,0,9,1,0.06,0.06,0.12,0.06,0.12,2.7,2.7,0.6,3.3,0.08,0.02,0.1,0.08,0.1
346,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,32,1985,35,28,2495,27.7,7,3,6,1,1,1,0,0.25,0.11,0.36,0.22,0.32,7.5,6.7,2.5,9.3,0.27,0.09,0.36,0.24,0.33
347,Nicolò Brighenti\Nicolo-Brighenti,it ITA,DF,Frosinone,it Serie A,28,1989,11,11,990,11,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0.03,0.02,0.05,0.03,0.05
348,Matteo Brighi\Matteo-Brighi,it ITA,MF,Empoli,it Serie A,37,1981,10,1,231,2.6,1,0,1,0,0,1,0,0.39,0,0.39,0.39,0.39,0.6,0.6,0.1,0.8,0.25,0.05,0.3,0.25,0.3
349,Enrico Brignola\Enrico-Brignola,it ITA,FW,Sassuolo,it Serie A,19,1999,7,2,175,1.9,1,0,1,0,0,2,0,0.51,0,0.51,0.51,0.51,0.4,0.4,0.1,0.5,0.21,0.03,0.24,0.21,0.24
350,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,eng Premier League,33,1985,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,eng Premier League,21,1997,30,29,2261,25.1,7,5,7,0,0,3,0,0.28,0.2,0.48,0.28,0.48,5.7,5.7,3.7,9.3,0.23,0.15,0.37,0.23,0.37
352,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,25,1993,29,29,2610,29,3,2,3,0,0,7,0,0.1,0.07,0.17,0.1,0.17,3.1,3.1,1,4.1,0.11,0.04,0.14,0.11,0.14
353,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,30,1988,26,26,2203,24.5,3,5,0,3,3,2,0,0.12,0.2,0.33,0,0.2,2.9,0.6,4.4,5,0.12,0.18,0.3,0.03,0.21
354,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,25,1992,32,31,2650,29.4,2,1,2,0,0,11,1,0.07,0.03,0.1,0.07,0.1,1,1,3.1,4.1,0.03,0.11,0.14,0.03,0.14
355,Bruma\Bruma,pt POR,MFFW,RB Leipzig,de Bundesliga,23,1994,14,6,553,6.1,1,1,1,0,1,1,0,0.16,0.16,0.33,0.16,0.33,1.3,0.6,1.2,1.8,0.22,0.2,0.42,0.09,0.3
356,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Schalke 04,de Bundesliga,26,1991,9,7,624,6.9,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
357,Bruno\Bruno,es ESP,DF,Brighton,eng Premier League,37,1980,14,14,1131,12.6,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03
358,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Dortmund,de Bundesliga,19,1998,24,16,1265,14.1,2,2,2,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.6,3.6,2.9,6.5,0.26,0.2,0.46,0.26,0.46
359,Bryan\Bryan,es ESP,MFFW,Sevilla,es La Liga,17,2001,11,0,167,1.9,1,1,1,0,0,0,0,0.54,0.54,1.08,0.54,1.08,0.5,0.5,0.5,0.9,0.25,0.25,0.5,0.25,0.5
360,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,eng Premier League,24,1993,28,27,2345,26.1,0,1,0,0,0,5,0,0,0.04,0.04,0,0.04,0.7,0.7,2.6,3.2,0.03,0.1,0.12,0.03,0.12
361,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17,17,1530,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Niko Bungert\Niko-Bungert,de GER,DF,Mainz 05,de Bundesliga,31,1986,7,3,284,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.09,0.01,0.1,0.09,0.1
363,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,29,1989,24,17,1526,17,4,0,4,0,0,4,0,0.24,0,0.24,0.24,0.24,6.2,6.2,1.1,7.3,0.36,0.07,0.43,0.36,0.43
364,Burgui\Burgui,es ESP,MFFW,Alavés,es La Liga,24,1993,16,5,555,6.2,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,0.9,0.9,0.6,1.6,0.15,0.1,0.26,0.15,0.26
365,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWMF,Mainz 05,de Bundesliga,18,2000,4,4,259,2.9,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0.5,2,0.5,0.19,0.68,0.5,0.68
366,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32,32,2880,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,22,1996,17,15,1352,15,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.01,0.02,0.04,0.01,0.04
368,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,30,1988,35,30,2715,30.2,0,1,0,0,0,10,0,0,0.03,0.03,0,0.03,0.4,0.4,1.2,1.6,0.01,0.04,0.05,0.01,0.05
369,Gaëtan Bussmann\Gaetan-Bussmann,fr FRA,DF,Mainz 05,de Bundesliga,27,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,26,1992,25,24,2023,22.5,0,1,0,0,0,11,1,0,0.04,0.04,0,0.04,0.2,0.2,0.6,0.8,0.01,0.03,0.03,0.01,0.03
371,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36,36,3239,36,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0
372,David Button\David-Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Jakub Błaszczykowski\Jakub-Blaszczykowski,pl POL,FW,Wolfsburg,de Bundesliga,32,1985,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,23,1995,21,20,1632,18.1,2,0,2,0,0,11,2,0.11,0,0.11,0.11,0.11,1.1,1.1,0.2,1.2,0.06,0.01,0.07,0.06,0.07
375,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,28,1990,34,34,2997,33.3,8,4,7,1,1,5,1,0.24,0.12,0.36,0.21,0.33,8.8,8,5.7,13.7,0.26,0.17,0.43,0.24,0.41
377,Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,es La Liga,32,1985,24,21,1897,21.1,0,0,0,0,0,6,2,0,0,0,0,0,1.3,1.3,0.4,1.7,0.06,0.02,0.08,0.06,0.08
378,Rafael Cabral\Rafael-Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,27,1991,32,31,2794,31,2,0,2,0,0,11,1,0.06,0,0.06,0.06,0.06,1.9,1.9,0.4,2.3,0.06,0.01,0.08,0.06,0.08
380,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,31,1986,7,7,580,6.4,0,2,0,0,0,2,0,0,0.31,0.31,0,0.31,0.1,0.1,0.6,0.7,0.02,0.09,0.11,0.02,0.11
381,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Chievo,it Serie A,31,1986,7,5,497,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9,0.9,0,0.16,0.17,0,0.17
382,Martín Cáceres\Martin-Caceres,uy URU,DFFW,Lazio,it Serie A,31,1987,4,3,307,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
383,Martín Cáceres\Martin-Caceres,uy URU,DF,Juventus,it Serie A,31,1987,9,7,628,7,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.05,0,0.05,0.05,0.05
384,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,21,1997,29,26,2298,25.5,0,1,0,0,0,1,0,0,0.04,0.04,0,0.04,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04
385,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,21,1997,34,24,2095,23.3,7,3,7,0,0,5,0,0.3,0.13,0.43,0.3,0.43,3.5,3.5,4,7.5,0.15,0.17,0.32,0.15,0.32
386,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,eng Premier League,32,1985,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MFDF,Toulouse,fr Ligue 1,33,1985,23,15,1431,15.9,1,0,1,0,0,8,1,0.06,0,0.06,0.06,0.06,0.4,0.4,0.4,0.8,0.02,0.02,0.05,0.02,0.05
388,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,29,1988,28,17,1371,15.2,8,2,7,1,1,4,0,0.53,0.13,0.66,0.46,0.59,6.4,5.6,1.6,7.3,0.42,0.11,0.53,0.37,0.48
389,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21,21,1890,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,eng Premier League,27,1991,31,24,2194,24.4,1,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,2.9,4,0.04,0.12,0.16,0.04,0.16
391,Caiuby\Caiuby,br BRA,FWMF,Augsburg,de Bundesliga,30,1988,14,10,1006,11.2,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2,2,1.3,3.4,0.18,0.12,0.3,0.18,0.3
392,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Bologna,it Serie A,22,1996,18,16,1412,15.7,1,0,1,0,0,8,0,0.06,0,0.06,0.06,0.06,0.2,0.2,0.3,0.5,0.01,0.02,0.03,0.01,0.03
393,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,21,1996,26,22,1950,21.7,1,2,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14,0.5,0.5,2.1,2.6,0.02,0.1,0.12,0.02,0.12
394,Jordi Calavera\Jordi-Calavera,es ESP,DF,Eibar,es La Liga,22,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,Fernando Calero\Fernando-Calero,es ESP,DF,Valladolid,es La Liga,22,1995,36,35,3130,34.8,1,0,1,0,0,7,0,0.03,0,0.03,0.03,0.03,0.6,0.6,0.2,0.8,0.02,0.01,0.02,0.02,0.02
396,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,21,1996,20,17,1547,17.2,0,0,0,0,0,1,2,0,0,0,0,0,0.8,0.8,0,0.8,0.04,0,0.05,0.04,0.05
397,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,FWMF,Milan,it Serie A,24,1994,36,34,2884,32,3,6,3,0,0,3,0,0.09,0.19,0.28,0.09,0.28,5.5,5.5,5.8,11.3,0.17,0.18,0.35,0.17,0.35
398,Daniel Caligiuri\Daniel-Caligiuri,it ITA,DF,Schalke 04,de Bundesliga,30,1988,31,31,2756,30.6,7,3,3,4,6,9,0,0.23,0.1,0.33,0.1,0.2,6.3,1.7,4.5,6.2,0.2,0.15,0.35,0.06,0.2
399,José Callejón\Jose-Callejon,es ESP,MFFW,Napoli,it Serie A,31,1987,34,29,2650,29.4,3,10,3,0,0,1,0,0.1,0.34,0.44,0.1,0.44,5.2,5.2,9.1,14.3,0.18,0.31,0.49,0.18,0.49
400,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Alavés,es La Liga,24,1993,34,33,2869,31.9,9,2,7,2,2,6,0,0.28,0.06,0.35,0.22,0.28,7.2,5.7,2.1,7.8,0.23,0.07,0.29,0.18,0.25
401,Jan-Ingwer Callsen-Bracker\Jan-Ingwer-Callsen-Bracker,de GER,DF,Augsburg,de Bundesliga,33,1984,1,0,7,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,1.73,0,1.73,1.73,1.73
402,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,21,1997,35,19,1784,19.8,6,2,6,0,0,3,0,0.3,0.1,0.4,0.3,0.4,5.2,5.1,1.1,6.2,0.26,0.06,0.32,0.26,0.31
403,Ignacio Camacho\Ignacio-Camacho,es ESP,MF,Wolfsburg,de Bundesliga,28,1990,6,6,540,6,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.5,1,0.08,0.09,0.17,0.08,0.17
404,Juanjo Camacho\Juanjo-Camacho,es ESP,MF,Huesca,es La Liga,37,1980,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.2,0.76,0.96,0.2,0.96
405,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,eng Premier League,18,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,Mahdi Camara\Mahdi-Camara,fr FRA,FW,Saint-Étienne,fr Ligue 1,20,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,fr Ligue 1,35,1982,12,0,137,1.5,3,0,3,0,0,0,0,1.97,0,1.97,1.97,1.97,1.3,1.3,0.1,1.4,0.86,0.05,0.91,0.86,0.91
408,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,eng Premier League,24,1994,32,31,2569,28.5,5,4,5,0,0,6,0,0.18,0.14,0.32,0.18,0.32,2.7,2.7,3.3,6,0.1,0.11,0.21,0.1,0.21
409,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,15,2002,7,4,364,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.05,0.08,0.02,0.08
410,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,es La Liga,17,2001,1,0,45,0.5,1,0,1,0,0,0,0,2,0,2,2,2,0.6,0.6,0.1,0.7,1.15,0.17,1.32,1.15,1.32
411,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,25,1993,36,36,3210,35.7,4,9,4,0,0,11,0,0.11,0.25,0.36,0.11,0.36,1.5,1.5,4,5.5,0.04,0.11,0.15,0.04,0.15
412,Joel Campbell\Joel-Campbell,cr CRC,FWMF,Frosinone,it Serie A,26,1992,17,11,891,9.9,0,3,0,0,0,4,0,0,0.3,0.3,0,0.3,0.9,0.9,1.3,2.3,0.09,0.14,0.23,0.09,0.23
413,Emre Can\Emre-Can,de GER,MF,Juventus,it Serie A,24,1994,29,20,1811,20.1,4,1,3,1,1,7,0,0.2,0.05,0.25,0.15,0.2,3,2.3,2.8,5.1,0.15,0.14,0.29,0.11,0.25
414,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,27,1991,32,30,2655,29.5,7,2,5,2,2,5,0,0.24,0.07,0.31,0.17,0.24,6.7,5.2,5.8,11,0.23,0.2,0.42,0.18,0.37
415,João Cancelo\Joao-Cancelo,pt POR,DF,Juventus,it Serie A,24,1994,25,22,1968,21.9,1,3,1,0,0,6,0,0.05,0.14,0.18,0.05,0.18,1.4,1.4,3.4,4.8,0.06,0.16,0.22,0.06,0.22
416,Antonio Candreva\Antonio-Candreva,it ITA,FWMF,Inter,it Serie A,31,1987,18,5,502,5.6,1,0,1,0,0,0,0,0.18,0,0.18,0.18,0.18,1.8,1.8,1.1,2.9,0.33,0.19,0.52,0.33,0.52
417,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,26,1992,25,17,1642,18.2,0,0,0,0,0,9,0,0,0,0,0,0,0.6,0.6,1,1.5,0.03,0.05,0.08,0.03,0.08
418,Luan Capanni\Luan-Capanni,br BRA,FW,Lazio,it Serie A,18,2000,1,0,9,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.18,0,0.18,0.18,0.18
419,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,31,1987,26,21,1842,20.5,3,3,3,0,0,2,0,0.15,0.15,0.29,0.15,0.29,2.2,2.2,3.3,5.4,0.11,0.16,0.27,0.11,0.27
420,Leonardo Capezzi\Leonardo-Capezzi,it ITA,MF,Empoli,it Serie A,23,1995,12,9,772,8.6,0,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,0.3,0.8,0.06,0.04,0.1,0.06,0.1
421,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,eng Premier League,30,1988,33,33,2944,32.7,1,3,1,0,0,14,1,0.03,0.09,0.12,0.03,0.12,1,1,0.9,1.9,0.03,0.03,0.06,0.03,0.06
422,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Sampdoria,it Serie A,25,1993,21,12,1031,11.5,6,2,6,0,0,1,0,0.52,0.17,0.7,0.52,0.7,2.6,2.6,1.4,4,0.23,0.12,0.35,0.23,0.35
423,Marco Capuano\Marco-Capuano,it ITA,DF,Frosinone,it Serie A,26,1991,27,27,2307,25.6,0,0,0,0,0,5,1,0,0,0,0,0,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03
424,Francesco Caputo\Francesco-Caputo,it ITA,FW,Empoli,it Serie A,30,1987,38,38,3420,38,16,3,13,3,6,3,0,0.42,0.08,0.5,0.34,0.42,17.7,13.2,5.8,19,0.47,0.15,0.62,0.35,0.5
425,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Marc Cardona\Marc-Cardona,es ESP,FWMF,Eibar,es La Liga,23,1995,17,6,604,6.7,3,1,3,0,0,1,0,0.45,0.15,0.6,0.45,0.6,2.7,2.7,0.6,3.4,0.41,0.1,0.5,0.41,0.5
427,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,fr Ligue 1,25,1993,35,35,3148,35,2,0,2,0,0,8,0,0.06,0,0.06,0.06,0.06,2,2,0.2,2.2,0.06,0.01,0.06,0.06,0.06
428,Jonas Carls\Jonas-Carls,de GER,DF,Schalke 04,de Bundesliga,21,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04
429,Louis Carnot\Louis-Carnot,fr FRA,MF,Guingamp,fr Ligue 1,17,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2.73,2.73,0,2.73
430,Lionel Carole\Lionel-Carole,fr FRA,DFMF,Strasbourg,fr Ligue 1,27,1991,23,20,1727,19.2,0,3,0,0,0,2,0,0,0.16,0.16,0,0.16,0.7,0.7,2,2.7,0.04,0.11,0.14,0.04,0.14
431,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,es La Liga,29,1988,24,24,2130,23.7,1,1,1,0,0,10,0,0.04,0.04,0.08,0.04,0.08,0.7,0.7,0.7,1.4,0.03,0.03,0.06,0.03,0.06
432,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,es La Liga,27,1991,32,23,1992,22.1,6,1,5,1,3,5,0,0.27,0.05,0.32,0.23,0.27,8.6,6.3,1.3,7.7,0.39,0.06,0.45,0.29,0.35
433,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,eng Premier League,29,1989,12,3,461,5.1,0,0,0,0,0,2,0,0,0,0,0,0,1.9,1.9,0.2,2,0.36,0.03,0.39,0.36,0.39
434,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,26,1992,24,23,2107,23.4,1,2,1,0,0,10,0,0.04,0.09,0.13,0.04,0.13,0.4,0.4,3.2,3.7,0.02,0.14,0.16,0.02,0.16
435,William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,26,1992,30,26,2385,26.5,0,5,0,0,0,7,0,0,0.19,0.19,0,0.19,0.6,0.6,2,2.6,0.02,0.07,0.1,0.02,0.1
436,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,26,1992,29,27,2312,25.7,3,0,3,0,0,7,1,0.12,0,0.12,0.12,0.12,1.8,1.8,0.7,2.4,0.07,0.03,0.09,0.07,0.09
437,Santiago Cáseres\Santiago-Caseres,ar ARG,MF,Villarreal,es La Liga,21,1997,23,17,1588,17.6,0,1,0,0,0,10,0,0,0.06,0.06,0,0.06,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07
438,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,20,1998,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Francesco Cassata\Francesco-Cassata,it ITA,MFFW,Frosinone,it Serie A,21,1997,19,14,1124,12.5,2,2,2,0,0,9,1,0.16,0.16,0.32,0.16,0.32,0.6,0.6,0.5,1.1,0.05,0.04,0.09,0.05,0.09
440,Timothy Castagne\Timothy-Castagne,be BEL,DFMF,Atalanta,it Serie A,22,1995,28,21,2006,22.3,4,3,4,0,0,3,0,0.18,0.13,0.31,0.18,0.31,2.1,2.1,2.5,4.5,0.09,0.11,0.2,0.09,0.2
441,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,26,26,2295,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,Samu Castillejo\Samu-Castillejo,es ESP,FWMF,Milan,it Serie A,23,1995,31,8,1023,11.4,4,2,4,0,0,3,0,0.35,0.18,0.53,0.35,0.53,1.7,1.7,1.8,3.5,0.15,0.16,0.31,0.15,0.31
443,Gonzalo Castro\Gonzalo-Castro,de GER,MF,Stuttgart,de Bundesliga,31,1987,25,19,1692,18.8,2,4,2,0,0,4,0,0.11,0.21,0.32,0.11,0.32,1.3,1.3,1.9,3.2,0.07,0.1,0.17,0.07,0.17
444,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,eng Premier League,24,1994,33,32,2771,30.8,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,2,2,1.5,3.5,0.07,0.05,0.11,0.07,0.11
445,Lucas Castro\Lucas-Castro,ar ARG,MFFW,Cagliari,it Serie A,29,1989,12,10,896,10,1,3,1,0,0,1,0,0.1,0.3,0.4,0.1,0.4,0.6,0.6,2,2.5,0.06,0.2,0.25,0.06,0.25
446,Danilo Cataldi\Danilo-Cataldi,it ITA,MFFW,Lazio,it Serie A,23,1994,12,4,578,6.4,2,1,2,0,0,2,0,0.31,0.16,0.47,0.31,0.47,0.8,0.8,1.5,2.3,0.13,0.23,0.36,0.13,0.36
447,Catena\Catena,es ESP,DF,Rayo Vallecano,es La Liga,23,1994,2,2,176,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
